Reaction Time (h),Oxidation Potential (V)
0,3.018398808993756,0.63% Lamp black/Poly(acrylic acid)
8,13.589693673693583,0.63% Lamp black/Poly(acrylic acid)
9,24.835070658948677,0.63% Lamp black/Poly(acrylic acid)
13,112.56047750438044,0.63% Lamp black/Poly(acrylic acid)
17,-112.83961474916815,0.63% Lamp black/Poly(acrylic acid)
18,551.3349621321495,0.63% Lamp black/Poly(acrylic acid)
19,-379.64836914215954,0.63% Lamp black/Poly(acrylic acid)
0,-4.096741897361874,0.33% Lamp black/Poly(acrylic acid)
8,-4.6452457880736295,0.33% Lamp black/Poly(acrylic acid)
9,-4.690835258839274,0.33% Lamp black/Poly(acrylic acid)
13,-4.82399491019931,0.33% Lamp black/Poly(acrylic acid)
17,-4.9089492430329456,0.33% Lamp black/Poly(acrylic acid)
18,-4.93346440107466,0.33% Lamp black/Poly(acrylic acid)
19,-4.948571819286933,0.33% Lamp black/Poly(acrylic acid)
0,-3.990492384617779,0.8% Lamp black/Poly(acrylic acid)
8,-4.665778956185743,0.8% Lamp black/Poly(acrylic acid)
9,-4.686612987669046,0.8% Lamp black/Poly(acrylic acid)
13,-4.836387738372709,0.8% Lamp black/Poly(acrylic acid)
17,-4.896784091008054,0.8% Lamp black/Poly(acrylic acid)
18,-4.916039675265268,0.8% Lamp black/Poly(acrylic acid)
19,-4.935139535111387,0.8% Lamp black/Poly(acrylic acid)
0,0.7135696851918243,0.14% Lamp black/Poly(acrylic acid)
8,2.0276546250566048,0.14% Lamp black/Poly(acrylic acid)
9,5.176784280909914,0.14% Lamp black/Poly(acrylic acid)
13,1.9782148431259756,0.14% Lamp black/Poly(acrylic acid)
17,-1.0301585154842385,0.14% Lamp black/Poly(acrylic acid)
18,7.9489444019946145,0.14% Lamp black/Poly(acrylic acid)
19,7.9772246652701995,0.14% Lamp black/Poly(acrylic acid)
0,0.8509925853844602,0.69% Lamp black/Poly(acrylic acid)
8,8.120665713717095,0.69% Lamp black/Poly(acrylic acid)
9,28.116835437187376,0.69% Lamp black/Poly(acrylic acid)
13,26.1188894495437,0.69% Lamp black/Poly(acrylic acid)
17,253.92204766607355,0.69% Lamp black/Poly(acrylic acid)
18,332.43490752199295,0.69% Lamp black/Poly(acrylic acid)
19,188.64870226965186,0.69% Lamp black/Poly(acrylic acid)
