Volume Fraction,Tensile Strength (MPa)
5.535917386649675,-6.602911413404296,Carbon nanofibers/Nylon 8
9.914873487937559,-6.912051257623037,Carbon nanofibers/Nylon 8
16.997310208631205,-7.113866997329714,Carbon nanofibers/Nylon 8
5.535917386649675,-1.066525573773849,Barium Titanate/Nylon 8
9.914873487937559,-1.2317861328496504,Barium Titanate/Nylon 8
16.997310208631205,-1.2791720503837118,Barium Titanate/Nylon 8
5.535917386649675,-2.8021789187795663,carbon black/Nylon 8
9.914873487937559,-2.909800296017502,carbon black/Nylon 8
16.997310208631205,-3.1114934683048596,carbon black/Nylon 8
5.535917386649675,-1.9865304408082993,Aluminium dioxide/Nylon 8
9.914873487937559,-2.2260952828456313,Aluminium dioxide/Nylon 8
16.997310208631205,-2.4337919219892363,Aluminium dioxide/Nylon 8
