Heat Treatment Time (h),Galvanic Potential (V)
0,8.12580172829166,0.45% Cu(HO3PC6H5)2/Poly(vinyl alcohol)
17,227.51978587589525,0.45% Cu(HO3PC6H5)2/Poly(vinyl alcohol)
19,-86.26517410519551,0.45% Cu(HO3PC6H5)2/Poly(vinyl alcohol)
0,-2.156960210057937,0.56% Cu(HO3PC6H5)2/Poly(vinyl alcohol)
17,-3.1727141765343867,0.56% Cu(HO3PC6H5)2/Poly(vinyl alcohol)
19,-3.1755177922767515,0.56% Cu(HO3PC6H5)2/Poly(vinyl alcohol)
0,-4.978424831494436,0.01% Cu(HO3PC6H5)2/Poly(vinyl alcohol)
17,-26.43302949090382,0.01% Cu(HO3PC6H5)2/Poly(vinyl alcohol)
19,596.1473218295714,0.01% Cu(HO3PC6H5)2/Poly(vinyl alcohol)
0,5.003299124966717,0.15% Cu(HO3PC6H5)2/Poly(vinyl alcohol)
17,4.219703194773599,0.15% Cu(HO3PC6H5)2/Poly(vinyl alcohol)
19,4.190746735720951,0.15% Cu(HO3PC6H5)2/Poly(vinyl alcohol)
0,1.8429492829289509,0.79% Cu(HO3PC6H5)2/Poly(vinyl alcohol)
17,8.168167901150856,0.79% Cu(HO3PC6H5)2/Poly(vinyl alcohol)
19,-0.5824373668189615,0.79% Cu(HO3PC6H5)2/Poly(vinyl alcohol)
