Ion Beam Dose (Gy),Thermal Resistance (K/W)
3.8524888043269923,-2.730752379237976,
6.712498756481827,-1.903684505063238,
7.646594704690257,-1.4900576630798343,
16.244193035022047,2.9607319021611342,
18.417578311315058,-11.112416038383472,
3.8524888043269923,7.4992189867777155,
6.712498756481827,7.350527789088388,
7.646594704690257,7.318857803806045,
16.244193035022047,7.229821912499706,
18.417578311315058,7.2259820826311705,
3.8524888043269923,8.458205073729888,
6.712498756481827,9.202184264427927,
7.646594704690257,7.570244002246373,
16.244193035022047,15.192499333894965,
18.417578311315058,2.6041705704742357,
3.8524888043269923,-3.2417137823009727,
6.712498756481827,-3.398926496063218,
7.646594704690257,-3.3611115477607654,
16.244193035022047,-3.703489926049078,
18.417578311315058,-3.735870849084583,
