Calcination Temperature (°C),Elongation At Break (%)
6.108471101919775,-2.0690515935797027,multi-walled CNT/S-SBR
8.48729200640321,-2.162153556528426,multi-walled CNT/S-SBR
9.65027015410098,-2.1887332306575416,multi-walled CNT/S-SBR
9.765449179869062,-2.191058138311828,multi-walled CNT/S-SBR
11.257257912489463,-2.208986231835038,multi-walled CNT/S-SBR
19.97530505805057,-2.239183573746179,multi-walled CNT/S-SBR
6.108471101919775,5.893877900056711,graphene platelets/S-SBR
8.48729200640321,5.852683477272886,graphene platelets/S-SBR
9.65027015410098,5.786237571477324,graphene platelets/S-SBR
9.765449179869062,5.801628899390755,graphene platelets/S-SBR
11.257257912489463,5.769465727293113,graphene platelets/S-SBR
19.97530505805057,5.538961011139923,graphene platelets/S-SBR
6.108471101919775,6.341632917473012,Zirconium dioxide/S-SBR
8.48729200640321,6.257923077407369,Zirconium dioxide/S-SBR
9.65027015410098,6.230298111353891,Zirconium dioxide/S-SBR
9.765449179869062,6.2332741245197605,Zirconium dioxide/S-SBR
11.257257912489463,6.21295250570114,Zirconium dioxide/S-SBR
19.97530505805057,6.182718946179647,Zirconium dioxide/S-SBR
