Pressure (Pa),Coefficient Of Thermal Expansion (1/K)
4.699587644263761,-2.004096538534541,0.17% dodecylbenzene sulfonic acid/PEA
4.879920877421904,-2.0867104040706694,0.17% dodecylbenzene sulfonic acid/PEA
11.61446636635112,-2.345145858244392,0.17% dodecylbenzene sulfonic acid/PEA
13.778835143268509,-2.383969682319143,0.17% dodecylbenzene sulfonic acid/PEA
15.44470722119729,-2.4370069752292696,0.17% dodecylbenzene sulfonic acid/PEA
16.044839493571995,-2.446645303025261,0.17% dodecylbenzene sulfonic acid/PEA
17.86375193651358,-2.4880801025709944,0.17% dodecylbenzene sulfonic acid/PEA
4.699587644263761,2.1521538326676035,0.46% dodecylbenzene sulfonic acid/PEA
4.879920877421904,2.0905268661884953,0.46% dodecylbenzene sulfonic acid/PEA
11.61446636635112,1.9072906430527081,0.46% dodecylbenzene sulfonic acid/PEA
13.778835143268509,1.8898271032521778,0.46% dodecylbenzene sulfonic acid/PEA
15.44470722119729,1.8827573720459743,0.46% dodecylbenzene sulfonic acid/PEA
16.044839493571995,1.881923911506422,0.46% dodecylbenzene sulfonic acid/PEA
17.86375193651358,1.8776136272668789,0.46% dodecylbenzene sulfonic acid/PEA
