X-ray Dose (Gy),Fatigue Strength (MPa)
5,6.869782684166726,SAF/DGEBF
6,7.0414764990593515,SAF/DGEBF
10,27.563902476091883,SAF/DGEBF
11,21.91145660620569,SAF/DGEBF
16,114.22475881123539,SAF/DGEBF
5,-1.3974052344648922,Furnace black/DGEBF
6,-1.8468199114643475,Furnace black/DGEBF
10,-2.4352885631117918,Furnace black/DGEBF
11,2.8343415180788334,Furnace black/DGEBF
16,5.738387106486192,Furnace black/DGEBF
5,-1.9994281660563478,Fluorine mica/DGEBF
6,-2.030490062966356,Fluorine mica/DGEBF
10,-2.142756366556149,Fluorine mica/DGEBF
11,-2.16420886276679,Fluorine mica/DGEBF
16,-2.1888053393373,Fluorine mica/DGEBF
5,5.742387503909956,Graphite oxide/DGEBF
6,8.032256687238979,Graphite oxide/DGEBF
10,17.419812311540007,Graphite oxide/DGEBF
11,32.46599192995162,Graphite oxide/DGEBF
16,267.9378672225043,Graphite oxide/DGEBF
5,-1.8379911524430574,graphite/DGEBF
6,-2.8656130762075094,graphite/DGEBF
10,-0.943611167541826,graphite/DGEBF
11,-0.4809302240817366,graphite/DGEBF
16,-4.181336544529209,graphite/DGEBF
