Nanoparticle Mass (%),Permittivity
1.5555762783659088,6.77587391562783,PEKK
5.751400423853063,6.426864715196938,PEKK
15.688847843705718,6.251511765219745,PEKK
16.99401452683373,6.2486200448739275,PEKK
1.5555762783659088,-7.21168602723031,PPSF
5.751400423853063,-7.801467921340895,PPSF
15.688847843705718,-7.948194370288023,PPSF
16.99401452683373,-7.951170780847514,PPSF
1.5555762783659088,-5.908255190384002,Nylon 11
5.751400423853063,-6.512044359091031,Nylon 11
15.688847843705718,-6.803465343221041,Nylon 11
16.99401452683373,-6.821860511065308,Nylon 11
1.5555762783659088,-2.2904101765921014,Nylon 6(3)T
5.751400423853063,-2.7145580556865254,Nylon 6(3)T
15.688847843705718,-2.8840083794235754,Nylon 6(3)T
16.99401452683373,-2.8869722636510264,Nylon 6(3)T
