Softening Temperature (°C),Electronic Conductivity (S/m)
7,0.6333177383933839,exfoliated graphite/EVA
8,0.5584641959558507,exfoliated graphite/EVA
11,0.5234800478782908,exfoliated graphite/EVA
7,-0.6542195358108267,Silica/EVA
8,0.5126183705877358,Silica/EVA
11,0.25620611530223325,Silica/EVA
7,2.0298752275592884,Zinc oxide/EVA
8,2.7310042153513923,Zinc oxide/EVA
11,3.181597338400746,Zinc oxide/EVA
7,-1.6141249090090175,exfoliated graphite/EVA
8,-1.6501862603920063,exfoliated graphite/EVA
11,-1.7047570145431832,exfoliated graphite/EVA
