Thickness (µm),Coercivity (A/m)
1.6754626427408326,5.693428524328897,MMT/DGEBA Epoxy Resin
6.792117878630577,13.028332802850782,MMT/DGEBA Epoxy Resin
10.384249165852179,15.52370121746638,MMT/DGEBA Epoxy Resin
15.769655390790035,46.57324404635301,MMT/DGEBA Epoxy Resin
16.64490898402164,154.72771081875837,MMT/DGEBA Epoxy Resin
2,-5.499281015239193,graphene platelet/DGEBA Epoxy Resin
3,-5.203454261497433,graphene platelet/DGEBA Epoxy Resin
6,-5.406224138083708,graphene platelet/DGEBA Epoxy Resin
14,-5.710571924794168,graphene platelet/DGEBA Epoxy Resin
15,-5.737281308338516,graphene platelet/DGEBA Epoxy Resin
1,4.478746477429504,zirconium dioxide/DGEBA Epoxy Resin
5,5.749318116728817,zirconium dioxide/DGEBA Epoxy Resin
10,5.844343677948034,zirconium dioxide/DGEBA Epoxy Resin
11,7.989038618767298,zirconium dioxide/DGEBA Epoxy Resin
14,11.279936740692062,zirconium dioxide/DGEBA Epoxy Resin
