Calcination Time (h),Shear Modulus (GPa)
0,2.1775583497138182,FKM
4,5.437201928272463,FKM
13,79.32460034801991,FKM
14,-93.41355577103535,FKM
16,74.85871346253037,FKM
18,52.22281483978311,FKM
0,-3.875758284624082,Poly(bisphenol A carbonate)
4,-3.210370187172882,Poly(bisphenol A carbonate)
13,0.9768117252997053,Poly(bisphenol A carbonate)
14,-2.429696047007418,Poly(bisphenol A carbonate)
16,-3.083751694386701,Poly(bisphenol A carbonate)
18,-3.002493785767622,Poly(bisphenol A carbonate)
0,-5.588231551132987,UPR
4,-6.528057439836785,UPR
13,-6.863073867223658,UPR
14,-6.869412490628683,UPR
16,-6.876595246465465,UPR
18,-6.880200333662504,UPR
0,-0.5842783176971383,PBS
4,-1.1987274235987795,PBS
13,-1.4861751975709514,PBS
14,-1.4901358106518328,PBS
16,-1.4979236248779344,PBS
18,-1.5007229125315753,PBS
