Crystallinity (%),Modulus Of Elasticity (GPa)
5.476872164408208,4.703098599919289,
10.099724269127995,13.442141162561285,
17.800972726620884,185.32004119003872,
5,3.134337948231682,
14,5.068490417786824,
18,226.7343796710951,
2.4334674079754293,10.583643180592258,
4.4327229224645,11.332808150242336,
13.070621549743787,49.98978031894754,
10,1.6260133477626624,
12,1.6118614735343677,
13,1.6032521213688193,
2.1921554219434602,4.223470768069498,
6.757985950720995,4.005517404024231,
9.03655946064008,3.8900264511263924,
