Young’s Modulus (GPa),Melting Temperature (°C)
4.026905026293052,-0.7703359608539566,Cu(HO3PC6H5)2/Nylon 6
10.579039159586596,-1.1610100975087365,Cu(HO3PC6H5)2/Nylon 6
10.825235344524511,-1.1624550031347376,Cu(HO3PC6H5)2/Nylon 6
14.430224341648927,-1.2597107737916666,Cu(HO3PC6H5)2/Nylon 6
14.726315986636255,-1.2716854778420092,Cu(HO3PC6H5)2/Nylon 6
4.026905026293052,-1.1923850322857974,OAPS/Nylon 6
10.579039159586596,-1.4067509413150745,OAPS/Nylon 6
10.825235344524511,-1.4109858005463094,OAPS/Nylon 6
14.430224341648927,-1.436297220510029,OAPS/Nylon 6
14.726315986636255,-1.4376770301518291,OAPS/Nylon 6
4.026905026293052,7.443014195246613,Paraffinum liquidum/Nylon 6
10.579039159586596,7.196648605174339,Paraffinum liquidum/Nylon 6
10.825235344524511,7.231289440525447,Paraffinum liquidum/Nylon 6
14.430224341648927,7.090190233915066,Paraffinum liquidum/Nylon 6
14.726315986636255,7.112086809375557,Paraffinum liquidum/Nylon 6
4.026905026293052,1.267247910201517,Multi-wall carbon nanotubes/Nylon 6
10.579039159586596,3.008514370316695,Multi-wall carbon nanotubes/Nylon 6
10.825235344524511,2.7006497426408127,Multi-wall carbon nanotubes/Nylon 6
14.430224341648927,0.7076507906039731,Multi-wall carbon nanotubes/Nylon 6
14.726315986636255,5.771011223771962,Multi-wall carbon nanotubes/Nylon 6
