Nanoparticle Volume (%),Bet Surface Area
8.543390604959363,8.963391125016784,White mineral oil/SBR
10.132807913707722,5.981933489026773,White mineral oil/SBR
15.191464691090328,88.74043978888366,White mineral oil/SBR
17.921983805258748,552.9950171281655,White mineral oil/SBR
0,-3.847779585528256,Graphite Nanoplatelets/SBR
10,-4.878022907124574,Graphite Nanoplatelets/SBR
15,-4.918061410276119,Graphite Nanoplatelets/SBR
19,-4.925596828101434,Graphite Nanoplatelets/SBR
7.559459272025338,-5.633362816416581,MoS2/SBR
14.638308953111757,-5.843566992802959,MoS2/SBR
15.352564101467436,-5.858011829659864,MoS2/SBR
19.42602656591861,-5.951733233338443,MoS2/SBR
1.016936444670915,1.2679933601208109,zinc oxide/SBR
4.768434367742389,4.872013871125798,zinc oxide/SBR
7.005030150842703,8.277452630827653,zinc oxide/SBR
10.246792143102493,4.827488036177458,zinc oxide/SBR
