Tensile Strength (MPa),Bond Strength (MPa)
1.3906900332944372,-3.3723182248113144,0.57% fumed silica/Polybenzimidazole
12.555873957223957,13.701621797861238,0.57% fumed silica/Polybenzimidazole
17.271287883027632,368.8715699385439,0.57% fumed silica/Polybenzimidazole
3,1.9368419252172602,0.13% fumed silica/Polybenzimidazole
13,1.4954694570451414,0.13% fumed silica/Polybenzimidazole
17,1.4295007339019101,0.13% fumed silica/Polybenzimidazole
10.868456169813012,7.530802757812918,0.64% fumed silica/Polybenzimidazole
12.30030138261683,-3.252220524951433,0.64% fumed silica/Polybenzimidazole
14.512008775753134,243.75170425995896,0.64% fumed silica/Polybenzimidazole
3.8146569742494107,-3.206156329994335,0.33% fumed silica/Polybenzimidazole
17.257870968550193,-3.7311226630484002,0.33% fumed silica/Polybenzimidazole
19.035805239928596,-3.765675159783037,0.33% fumed silica/Polybenzimidazole
3,0.38823924043008695,0.63% fumed silica/Polybenzimidazole
11,27.41070425995383,0.63% fumed silica/Polybenzimidazole
17,219.25978924968197,0.63% fumed silica/Polybenzimidazole
