Frequency (Hz),Modulus Of Elasticity (GPa)
1.677495498267838,-1.2437262584337818,EPDM rubber
2.8751452697683333,-1.160547307019168,EPDM rubber
5.400136408903354,-0.4357436951523068,EPDM rubber
1.677495498267838,9.238918230537926,Bisphenol E cyanate ester resin
2.8751452697683333,8.74985211270301,Bisphenol E cyanate ester resin
5.400136408903354,13.574641869619079,Bisphenol E cyanate ester resin
1.677495498267838,0.19378746341852815,Poly(ethylene terephthalate)
2.8751452697683333,1.9957913157135243,Poly(ethylene terephthalate)
5.400136408903354,4.326303721134625,Poly(ethylene terephthalate)
1.677495498267838,-2.580919012680897,PETP
2.8751452697683333,-2.688904938529065,PETP
5.400136408903354,0.152313809555789,PETP
1.677495498267838,1.297658412845692,Polychlorotrifluoroethylene
2.8751452697683333,1.9670436958214408,Polychlorotrifluoroethylene
5.400136408903354,0.9750547140430639,Polychlorotrifluoroethylene
