Melting Temperature (°C),Complex Viscosity (Pa·s)
3.0344713885652164,5.68477037467904,Poly-trifluoroethylene
4.286454675868452,5.654895815703606,Poly-trifluoroethylene
7.474978568621129,10.7281313043485,Poly-trifluoroethylene
13.011357621296128,44.7971571994462,Poly-trifluoroethylene
15.286118104063114,39.28250654229963,Poly-trifluoroethylene
18.599259272173594,591.4581170555169,Poly-trifluoroethylene
3.0344713885652164,-2.345297005268799,Poly(vinyl butyral)
4.286454675868452,0.9662228670158832,Poly(vinyl butyral)
7.474978568621129,4.113967158304994,Poly(vinyl butyral)
13.011357621296128,62.284359613537276,Poly(vinyl butyral)
15.286118104063114,62.30890603484629,Poly(vinyl butyral)
18.599259272173594,1008.2878340984659,Poly(vinyl butyral)
