Ultrasound Power (W),Fatigue Strength (MPa)
0.11272776683392882,-1.3062551698479075,0.23% TPP/FKM
1.588982644554815,-1.384436013526357,0.23% TPP/FKM
3.580714460908283,-1.4870966017436413,0.23% TPP/FKM
7.5529796910601394,-1.857683781623942,0.23% TPP/FKM
10.815778439676563,-1.9597284521166918,0.23% TPP/FKM
18.03746969890928,-2.1162065746500445,0.23% TPP/FKM
0.11272776683392882,-6.330098542510694,0.16% TPP/FKM
1.588982644554815,-6.818660891322542,0.16% TPP/FKM
3.580714460908283,-5.809082424698083,0.16% TPP/FKM
7.5529796910601394,-5.891300431787392,0.16% TPP/FKM
10.815778439676563,-5.7600276643506865,0.16% TPP/FKM
18.03746969890928,-9.401675120565411,0.16% TPP/FKM
0.11272776683392882,1.4973912817089674,0.36% TPP/FKM
1.588982644554815,1.2641315329760432,0.36% TPP/FKM
3.580714460908283,1.197564228935854,0.36% TPP/FKM
7.5529796910601394,0.9731962622153991,0.36% TPP/FKM
10.815778439676563,0.7949619284421736,0.36% TPP/FKM
18.03746969890928,0.6271813646277641,0.36% TPP/FKM
0.11272776683392882,1.4815402411396148,0.77% TPP/FKM
1.588982644554815,1.2594656532863282,0.77% TPP/FKM
3.580714460908283,0.9303327107259567,0.77% TPP/FKM
7.5529796910601394,0.7391035036976961,0.77% TPP/FKM
10.815778439676563,0.6832938925328091,0.77% TPP/FKM
18.03746969890928,0.6482529598248289,0.77% TPP/FKM
