Crystallization Temperature (°C),Tg (°C)
4.94509054571401,3.540861827584129,0.22% barium strontium titanate/Acrylonitrile butadiene styrene
8.150192184579959,2.612267825133286,0.22% barium strontium titanate/Acrylonitrile butadiene styrene
9.470477623863093,7.171700688026286,0.22% barium strontium titanate/Acrylonitrile butadiene styrene
10.39028924253763,4.273853082333345,0.22% barium strontium titanate/Acrylonitrile butadiene styrene
14.497454418512373,10.942739659669426,0.22% barium strontium titanate/Acrylonitrile butadiene styrene
4.94509054571401,-5.208388989465967,0.11% barium strontium titanate/Acrylonitrile butadiene styrene
8.150192184579959,-5.350909715759479,0.11% barium strontium titanate/Acrylonitrile butadiene styrene
9.470477623863093,-5.377339153799864,0.11% barium strontium titanate/Acrylonitrile butadiene styrene
10.39028924253763,-5.386584654094076,0.11% barium strontium titanate/Acrylonitrile butadiene styrene
14.497454418512373,-5.423246188034527,0.11% barium strontium titanate/Acrylonitrile butadiene styrene
