Aging Time (h),Pore Size (nm)
1,-0.7611070053802218,PEKK
6,-1.0722884659970133,PEKK
11,-1.2259008923277486,PEKK
12,-1.2994450849977965,PEKK
16,-1.363187481825055,PEKK
1,-5.538398754648782,Sodium polyacrylate
6,-6.430964724519266,Sodium polyacrylate
11,-4.2432692266392085,Sodium polyacrylate
12,-1.027937845306102,Sodium polyacrylate
16,-6.541708090930929,Sodium polyacrylate
1,4.507162998651401,Poly(ethylene-vinyl acetate)
6,3.89294874518567,Poly(ethylene-vinyl acetate)
11,3.7922517882505415,Poly(ethylene-vinyl acetate)
12,3.779816951613298,Poly(ethylene-vinyl acetate)
16,3.7607546134443273,Poly(ethylene-vinyl acetate)
1,2.658783281529601,Cellulose acetate butyrate
6,3.5493490027827437,Cellulose acetate butyrate
11,4.602373723038953,Cellulose acetate butyrate
12,3.1024030327919796,Cellulose acetate butyrate
16,10.129969931520069,Cellulose acetate butyrate
