Surfactant Concentration (M),Bet Surface Area
1,6.125001190797583,Poly(glycidyl methacrylate)
5,6.579798610550213,Poly(glycidyl methacrylate)
17,6.864067081367159,Poly(glycidyl methacrylate)
18,12.356176993344338,Poly(glycidyl methacrylate)
1,5.609144143291508,Nylon 8
12,4.7516604813080825,Nylon 8
18,4.7293240344242635,Nylon 8
19,4.7280380434677385,Nylon 8
5.00596112908938,5.565825492115963,SAN24
7.738969385517813,10.08807586558991,SAN24
9.625887315561435,16.497771448795454,SAN24
13.230369441004097,36.39442531487957,SAN24
1.9243142495807453,2.336526181081095,Poly(ethylene glycol)
2.2682726006046283,2.3016813830240515,Poly(ethylene glycol)
10.056405415192916,1.7313558235514923,Poly(ethylene glycol)
16.612750595628903,1.6873339478000098,Poly(ethylene glycol)
8.53246851202056,-1.4048986925035272,FKM
9.00283645091395,-1.404355273678582,FKM
12.564524391844436,-1.4535875810789864,FKM
16.236405142777226,-1.4677148200086563,FKM
