Surfactant Concentration (M),Shear Strength (MPa)
3.049152352063791,-0.35198621108356454,0.94% zinc oxide/Polybutadiene
6.3501332426214985,0.7507487329036326,0.94% zinc oxide/Polybutadiene
12.295836832042164,64.68341307070602,0.94% zinc oxide/Polybutadiene
12.785682992318417,24.65184803535132,0.94% zinc oxide/Polybutadiene
15.781026934440606,174.89864165832344,0.94% zinc oxide/Polybutadiene
3.049152352063791,5.3675744676813295,0.49% zinc oxide/Polybutadiene
6.3501332426214985,5.15906868863829,0.49% zinc oxide/Polybutadiene
12.295836832042164,4.905314886624579,0.49% zinc oxide/Polybutadiene
12.785682992318417,4.905292661622189,0.49% zinc oxide/Polybutadiene
15.781026934440606,4.8175499331632246,0.49% zinc oxide/Polybutadiene
