Temperature (°C),Permittivity
1.6236379599891149,-6.107625527932735,
8.386250569136998,-6.81446251868707,
9.426295738890447,-6.849967578245148,
12.766695908839507,-6.874620137405045,
15.241045371867878,-6.886777058357094,
19.984748230903186,-6.894154398331813,
1.6236379599891149,-0.9196862199663389,
8.386250569136998,-1.5492034338085245,
9.426295738890447,-1.5749889820489924,
12.766695908839507,-1.6086968929419636,
15.241045371867878,-1.618362431266675,
19.984748230903186,-1.6265477512692819,
1.6236379599891149,-2.9753633731690696,
8.386250569136998,7.329127593364973,
9.426295738890447,9.063945735939052,
12.766695908839507,-11.941972374699983,
15.241045371867878,162.86243877682227,
19.984748230903186,415.64149156363885,
