Frequency (Hz),Flexural Strength (MPa)
3.5454492615023625,0.7907574643623101,0.48% graphite/DGEBD
9.376798962864594,1.5046765118857088,0.48% graphite/DGEBD
12.75051011580828,1.292446215037728,0.48% graphite/DGEBD
14.130039781034858,2.891101284592138,0.48% graphite/DGEBD
15.481259921344346,1.1899166787723248,0.48% graphite/DGEBD
3.5454492615023625,2.0202374344474827,0.76% graphite/DGEBD
9.376798962864594,1.7994699015820155,0.76% graphite/DGEBD
12.75051011580828,1.6164650863412413,0.76% graphite/DGEBD
14.130039781034858,1.6068639953365162,0.76% graphite/DGEBD
15.481259921344346,1.5610290171967696,0.76% graphite/DGEBD
3.5454492615023625,-2.0322446728108527,0.99% graphite/DGEBD
9.376798962864594,-2.422760755447289,0.99% graphite/DGEBD
12.75051011580828,-2.5080587568274915,0.99% graphite/DGEBD
14.130039781034858,-2.5028374752810456,0.99% graphite/DGEBD
15.481259921344346,-2.5470140813175663,0.99% graphite/DGEBD
3.5454492615023625,-2.6743511401037807,0.29% graphite/DGEBD
9.376798962864594,-3.025551839230246,0.29% graphite/DGEBD
12.75051011580828,-3.1278787760119244,0.29% graphite/DGEBD
14.130039781034858,-3.127946132894149,0.29% graphite/DGEBD
15.481259921344346,-3.1875515705902733,0.29% graphite/DGEBD
