Light Intensity (W/m²),Electrochemical Potential (V)
8.921452937577675,-3.9043001438499476,0.17% Silver nitrate/S-SBR
9.723865887265308,-3.9014545929336166,0.17% Silver nitrate/S-SBR
15.937473750191643,-4.107273420502112,0.17% Silver nitrate/S-SBR
16.73666392940087,-4.131630332006278,0.17% Silver nitrate/S-SBR
18.205161268124773,-4.153142449261382,0.17% Silver nitrate/S-SBR
18.739692251763664,-4.163495417212022,0.17% Silver nitrate/S-SBR
8.921452937577675,-4.196143887075138,0.68% Silver nitrate/S-SBR
9.723865887265308,-3.5566710067347156,0.68% Silver nitrate/S-SBR
15.937473750191643,2.0957470024606177,0.68% Silver nitrate/S-SBR
16.73666392940087,3.8542734577035525,0.68% Silver nitrate/S-SBR
18.205161268124773,-2.6226498470300728,0.68% Silver nitrate/S-SBR
18.739692251763664,-17.855441419709756,0.68% Silver nitrate/S-SBR
8.921452937577675,19.55325951705231,0.61% Silver nitrate/S-SBR
9.723865887265308,15.115542827793846,0.61% Silver nitrate/S-SBR
15.937473750191643,171.78616849348907,0.61% Silver nitrate/S-SBR
16.73666392940087,426.0763712664875,0.61% Silver nitrate/S-SBR
18.205161268124773,149.37529183006814,0.61% Silver nitrate/S-SBR
18.739692251763664,-25.069263076350623,0.61% Silver nitrate/S-SBR
8.921452937577675,-2.4512648696917423,0.06% Silver nitrate/S-SBR
9.723865887265308,-2.490610208240045,0.06% Silver nitrate/S-SBR
15.937473750191643,-2.6660421843380684,0.06% Silver nitrate/S-SBR
16.73666392940087,-2.659496030779273,0.06% Silver nitrate/S-SBR
18.205161268124773,-2.697595223202518,0.06% Silver nitrate/S-SBR
18.739692251763664,-2.7057742676221914,0.06% Silver nitrate/S-SBR
8.921452937577675,2.1531642468238816,0.52% Silver nitrate/S-SBR
9.723865887265308,2.0831345977218785,0.52% Silver nitrate/S-SBR
15.937473750191643,1.9300442869084997,0.52% Silver nitrate/S-SBR
16.73666392940087,1.9043569863274876,0.52% Silver nitrate/S-SBR
18.205161268124773,1.8820745410890627,0.52% Silver nitrate/S-SBR
18.739692251763664,1.880669246088116,0.52% Silver nitrate/S-SBR
