Volume Fraction (%),Ionic Conductivity (S/m)
4.9326409764098695,0.9488255553953228,Fluoroelastomer
9.076178463670058,0.7198011724357243,Fluoroelastomer
12.422318007425107,0.5956806920439142,Fluoroelastomer
14.280423378594879,0.5362562427122959,Fluoroelastomer
18.077756422087393,0.4786150297382929,Fluoroelastomer
4.9326409764098695,7.504372476252559,poly-HEMA
9.076178463670058,22.351650013165944,poly-HEMA
12.422318007425107,36.65132344981054,poly-HEMA
14.280423378594879,160.43844773299762,poly-HEMA
18.077756422087393,107.55308330600893,poly-HEMA
4.9326409764098695,6.72263211655142,PETP
9.076178463670058,6.4176303579767255,PETP
12.422318007425107,6.323375517610659,PETP
14.280423378594879,6.266781187019933,PETP
18.077756422087393,6.185714568844964,PETP
