Gamma Radiation Dose (Gy),Hardness (HV)
1,1.8740481849061426,TPP/PMMA-PtBA
5,1.471310188077008,TPP/PMMA-PtBA
9,1.1781180384020447,TPP/PMMA-PtBA
10,1.1110626351520876,TPP/PMMA-PtBA
14,1.0078274698723153,TPP/PMMA-PtBA
0.32484124006257664,-6.39178975991079,SiC powder/PMMA-PtBA
1.0737133722146797,-6.5172395900021325,SiC powder/PMMA-PtBA
12.821408091996478,-7.699112214043312,SiC powder/PMMA-PtBA
15.046558295337773,2.844174097419602,SiC powder/PMMA-PtBA
19.266904991817306,28.47551028611602,SiC powder/PMMA-PtBA
