Ultrasound Power (W),Tg (°C)
5.629267976614436,-6.837618956980826,PVA
8.671483953534358,-7.046396146933003,PVA
10.679268405035202,-7.162538498720951,PVA
10.94109263424052,-7.159563840604843,PVA
16.79386426767714,-7.298738173113998,PVA
17.5269631286441,-7.3106578911608455,PVA
0,-1.8013796210029929,PAMS
2,-2.18821325203677,PAMS
6,-2.58136905321346,PAMS
9,-2.5270408043557,PAMS
12,-2.6022322306799066,PAMS
13,-2.6390447462138797,PAMS
4,9.032607335566215,Poly(ethylene)
6,9.369103183745118,Poly(ethylene)
7,13.10633084492041,Poly(ethylene)
8,20.433503320485528,Poly(ethylene)
12,41.980361235521315,Poly(ethylene)
17,235.62532666439705,Poly(ethylene)
1.600359327927925,2.5027598455922373,Poly(vinyl acetate)
3.406322802777626,2.111217237112763,Poly(vinyl acetate)
11.284096303610184,1.8637918469264678,Poly(vinyl acetate)
16.80350842955375,1.8350843034608357,Poly(vinyl acetate)
18.877540086875516,1.832170569419714,Poly(vinyl acetate)
18.919342323540217,1.8321460895215325,Poly(vinyl acetate)
3.785386359751093,-1.3846975265337136,Poly-trifluoroethylene
3.981678761355252,-1.4702513899230727,Poly-trifluoroethylene
8.073408811325656,-1.6900650529826986,Poly-trifluoroethylene
9.756892799569396,-1.712759238554289,Poly-trifluoroethylene
11.079227928892589,-1.7351333133520277,Poly-trifluoroethylene
17.85544296687217,-1.7666450378093363,Poly-trifluoroethylene
