Softening Temperature (°C),Reduction Potential (V)
3,-2.781547017047388,Nylon 12
6,-2.806729727088472,Nylon 12
12,-3.0263132187475144,Nylon 12
15,-3.1063070923005895,Nylon 12
18,-3.1628309656472413,Nylon 12
3,-6.969619752120276,PVDF
6,-6.9984909714936006,PVDF
12,-7.271406993458024,PVDF
15,-7.343831033843752,PVDF
18,-7.404855676168012,PVDF
3,3.556924323320528,Poly(butylene)
6,3.2142993415037804,Poly(butylene)
12,3.115696561262965,Poly(butylene)
15,3.101985893149581,Poly(butylene)
18,3.095108595407586,Poly(butylene)
3,-5.779290617793823,DGEBF Epoxy Resin
6,-5.8915095488537075,DGEBF Epoxy Resin
12,-6.119953436882084,DGEBF Epoxy Resin
15,-6.2201110801878,DGEBF Epoxy Resin
18,-6.292799438750116,DGEBF Epoxy Resin
3,1.58334158404925,P(VDF-CTFE)
6,5.443499031232548,P(VDF-CTFE)
12,41.10671126961515,P(VDF-CTFE)
15,-19.668603104575233,P(VDF-CTFE)
18,23.546342101451934,P(VDF-CTFE)
