Pore Size (nm),Intrinsic Viscosity (dl/g)
6.8700689550196214,1.4959595468975948,
7.487170277836528,1.4841328540315042,
17.67112656257939,1.1800480142769998,
9.272826630881141,19.58943351627058,
11.833008570232524,61.7442422818198,
14.27189542539274,10.120481240843498,
12.412498200247608,-2.4771403613425695,
12.591989332216828,-3.984887558109672,
12.829242095509718,-2.6236098257322156,
12.265962478177405,6.059894623936763,
13.382139486065439,6.054664418033965,
17.98732604894617,6.040739995700089,
7.104537937981612,-4.602074488254718,
17.798220842161005,-1.6742250688954803,
18.703368845417117,1.8668122022017037,
