Ultrasound Time (min),Degradation Temperature (°C)
0,2.4838809600381926,PBI
1,2.2160847279044837,PBI
7,1.5652818930258932,PBI
0,-3.4698047620812504,S-SEBS
1,-3.479927206399323,S-SEBS
7,-4.149584365616598,S-SEBS
0,2.11293600047121,Poly-trifluoroethylene
1,1.657048787898098,Poly-trifluoroethylene
7,0.997255185248926,Poly-trifluoroethylene
0,7.805445725547029,PEMA
1,7.464994534772696,PEMA
7,7.027969491523792,PEMA
0,4.33919173917106,PHEA
1,4.215579285729926,PHEA
7,6.618022018364066,PHEA
