Electric Field (V/m),Tan Delta
1,8.652188414765774,0.27% MWCNT
11,8.072711351612543,0.27% MWCNT
12,8.053349921973703,0.27% MWCNT
13,7.9808073975003015,0.27% MWCNT
1,8.367733637715757,0.05% MWCNT
11,10.416482480195919,0.05% MWCNT
12,7.742070819452854,0.05% MWCNT
13,8.336805601736051,0.05% MWCNT
1,3.8255282439966867,0.27% MWCNT
11,4.367818050448967,0.27% MWCNT
12,6.369061630346618,0.27% MWCNT
13,7.899338246927636,0.27% MWCNT
1,7.7832420276612115,0.08% MWCNT
11,55.16262423797381,0.08% MWCNT
12,34.50107518079553,0.08% MWCNT
13,24.788663793432747,0.08% MWCNT
