Loading Concentration (%),Coercivity (A/m)
1,7.610037996439354,
3,7.329892713414934,
4,7.348780823253823,
5,7.421487949079765,
8,7.246974802229596,
13,6.99945638877067,
15,6.950808002479048,
1,-6.831139748730616,
3,-5.030525060898727,
4,-3.2874354249754463,
5,-5.187335058581024,
8,3.6230089355130435,
13,11.74703461538667,
15,21.131440809527707,
1,8.732187515239723,
3,8.379127120382494,
4,8.349591191327235,
5,8.172379515142008,
8,8.01240434802455,
13,7.958375948255054,
15,7.951877628321788,
1,-3.1358914673280487,
3,-3.296527387224706,
4,-3.4167331201085713,
5,-3.5446423998048795,
8,-3.661810225006114,
13,-3.7408163091247517,
15,-3.748660304615403,
1,-3.346067683619364,
3,-2.315636754347986,
4,-2.1504493938244242,
5,-1.5469258008050502,
8,-2.3088963839403647,
13,3.3738525202202627,
15,0.13151300001846966,
