Heat Treatment Time (h),Remanence (A/m)
7.207637483975839,1.433131762774556,0.48% Magnesium oxide
8.472830804704927,15.563146803471744,0.48% Magnesium oxide
9.807587532036875,-0.5298446278902809,0.48% Magnesium oxide
14.498295519493398,115.76002719673573,0.48% Magnesium oxide
15.085624357001224,64.36774158475417,0.48% Magnesium oxide
16.01252870507265,204.11676832924266,0.48% Magnesium oxide
7.207637483975839,7.742965389902554,0.45% Magnesium oxide
8.472830804704927,10.3317728444235,0.45% Magnesium oxide
9.807587532036875,10.965974427248003,0.45% Magnesium oxide
14.498295519493398,13.58680215222946,0.45% Magnesium oxide
15.085624357001224,11.372921724812759,0.45% Magnesium oxide
16.01252870507265,14.519042718450127,0.45% Magnesium oxide
7.207637483975839,7.716728526960024,0.12% Magnesium oxide
8.472830804704927,10.376068087962238,0.12% Magnesium oxide
9.807587532036875,8.046710760336211,0.12% Magnesium oxide
14.498295519493398,18.35465611585431,0.12% Magnesium oxide
15.085624357001224,12.02490870769115,0.12% Magnesium oxide
16.01252870507265,8.766864046362148,0.12% Magnesium oxide
7.207637483975839,5.711452636989267,0.97% Magnesium oxide
8.472830804704927,5.67146258326168,0.97% Magnesium oxide
9.807587532036875,5.641891287668751,0.97% Magnesium oxide
14.498295519493398,5.607788013031196,0.97% Magnesium oxide
15.085624357001224,5.6058890528427225,0.97% Magnesium oxide
16.01252870507265,5.603141332847653,0.97% Magnesium oxide
7.207637483975839,6.581350074254077,0.54% Magnesium oxide
8.472830804704927,5.251342553893359,0.54% Magnesium oxide
9.807587532036875,7.30632111301976,0.54% Magnesium oxide
14.498295519493398,4.627757099906978,0.54% Magnesium oxide
15.085624357001224,-0.457994439405069,0.54% Magnesium oxide
16.01252870507265,9.57835589161024,0.54% Magnesium oxide
