Decomposition Temperature (°C),Thermal Conductivity (W/(m·K))
1.1898285048101842,5.653375798985801,0.11% Calcium Carbonate
6.396309684432165,14.612920746376718,0.11% Calcium Carbonate
8.205016615814264,18.750235094196235,0.11% Calcium Carbonate
9.8514176858077,22.622314644311174,0.11% Calcium Carbonate
10.825169761331129,22.845423815285507,0.11% Calcium Carbonate
16.509383734149687,131.5961454799238,0.11% Calcium Carbonate
1.1898285048101842,6.753041156210105,0.52% Calcium Carbonate
6.396309684432165,6.5446337040122895,0.52% Calcium Carbonate
8.205016615814264,6.426083123578357,0.52% Calcium Carbonate
9.8514176858077,6.3303027651246575,0.52% Calcium Carbonate
10.825169761331129,6.286717244148088,0.52% Calcium Carbonate
16.509383734149687,6.1585991453372255,0.52% Calcium Carbonate
1.1898285048101842,0.8984590243442803,0.93% Calcium Carbonate
6.396309684432165,2.515829095860086,0.93% Calcium Carbonate
8.205016615814264,2.5717534528151993,0.93% Calcium Carbonate
9.8514176858077,3.087885113562399,0.93% Calcium Carbonate
10.825169761331129,3.381492176523527,0.93% Calcium Carbonate
16.509383734149687,6.085765022223004,0.93% Calcium Carbonate
1.1898285048101842,-3.6598946127335448,0.27% Calcium Carbonate
6.396309684432165,-4.0884706718182535,0.27% Calcium Carbonate
8.205016615814264,-4.132531133259246,0.27% Calcium Carbonate
9.8514176858077,-4.287368933546707,0.27% Calcium Carbonate
10.825169761331129,-4.323148703600606,0.27% Calcium Carbonate
16.509383734149687,-4.436626961220538,0.27% Calcium Carbonate
1.1898285048101842,-5.830980913421936,0.69% Calcium Carbonate
6.396309684432165,-6.3548948885023435,0.69% Calcium Carbonate
8.205016615814264,-6.4411094057663565,0.69% Calcium Carbonate
9.8514176858077,-6.4731934115624545,0.69% Calcium Carbonate
10.825169761331129,-6.486035060636847,0.69% Calcium Carbonate
16.509383734149687,-6.519992504198776,0.69% Calcium Carbonate
