Pore Volume (cm³/g),Loss Modulus (Pa)
8.183853294480357,21.405505481064836,Poly(hexafluoro propylene)
14.753390756330163,34.325510529188804,Poly(hexafluoro propylene)
18.577166934074626,-31.439912907365596,Poly(hexafluoro propylene)
8.183853294480357,5.618669820274514,EPDM rubber
14.753390756330163,5.414084619990637,EPDM rubber
18.577166934074626,5.342896965344511,EPDM rubber
8.183853294480357,-2.3498111411555413,BPA-Ph
14.753390756330163,51.116210282968595,BPA-Ph
18.577166934074626,328.92856715619524,BPA-Ph
8.183853294480357,-7.322739517713837,TPU
14.753390756330163,-7.398566211782478,TPU
18.577166934074626,-7.407701408242911,TPU
8.183853294480357,2.478790732452385,Poly(acrylic acid)
14.753390756330163,5.460249964728704,Poly(acrylic acid)
18.577166934074626,12.923157936747804,Poly(acrylic acid)
