Incubation Time (h),Passivation Current Density (A/m²)
0,-3.8339173070391217,
6,-3.2480524652611305,
8,-2.319788199050122,
10,-1.381608153240721,
12,-0.49230367289799126,
18,5.939710034010147,
0,3.0965069972577064,
6,2.4682701433997973,
8,2.381078510138761,
10,2.361097701408356,
12,2.3347436872129235,
18,2.3120233605430736,
0,8.251304109345277,
6,7.029497316700792,
8,6.9862062537013925,
10,6.937707031342946,
12,6.911334710908872,
18,6.888611902343478,
0,-3.5844588269404545,
6,-4.1693064661524355,
8,-4.138901410440347,
10,-4.23518810067231,
12,-4.3129662871978764,
18,-4.459374661672205,
0,6.5094374966076,
6,5.8595227910636,
8,5.786391533259493,
10,5.739557089529528,
12,5.718620074728869,
18,5.696915695518048,
