Degradation Temperature (°C),Zero-shear Viscosity (Pa·s)
0,-4.961188482500297,0.99% cellulose nanocrystal
2,-5.283024549091664,0.99% cellulose nanocrystal
5,-5.653167719268883,0.99% cellulose nanocrystal
8,-5.855386269147509,0.99% cellulose nanocrystal
18,-6.062560808206735,0.99% cellulose nanocrystal
0,3.461964027258468,0.85% cellulose nanocrystal
2,2.82135315348106,0.85% cellulose nanocrystal
5,2.5683986765424565,0.85% cellulose nanocrystal
8,2.413352241961418,0.85% cellulose nanocrystal
18,2.3247536058079397,0.85% cellulose nanocrystal
