Electron Beam Dose (Gy),Permittivity
0.9645527572974211,-1.5426706373161825,TPP/Poly(acrylamide)
6.730718670035916,-2.066366128481716,TPP/Poly(acrylamide)
11.619642272408818,-2.253366932027389,TPP/Poly(acrylamide)
13.078196914388426,-2.2569483176298277,TPP/Poly(acrylamide)
16.70709310569668,-2.360084862717445,TPP/Poly(acrylamide)
0.9645527572974211,-1.3187427222814714,Carbon black/Poly(acrylamide)
6.730718670035916,1.2494846741574008,Carbon black/Poly(acrylamide)
11.619642272408818,22.200440392959365,Carbon black/Poly(acrylamide)
13.078196914388426,46.22401415217581,Carbon black/Poly(acrylamide)
16.70709310569668,122.19556020947992,Carbon black/Poly(acrylamide)
