Volume Fraction (%),Hysteresis Loss (J/m³)
4.358655078345571,-6.733610681018397,Calcium copper titanate/Polychlorotrifluoroethylene
8.174447263361092,-6.952044696761574,Calcium copper titanate/Polychlorotrifluoroethylene
9.5587793696558,-6.986319788422981,Calcium copper titanate/Polychlorotrifluoroethylene
10.98986052269061,-7.00606515929617,Calcium copper titanate/Polychlorotrifluoroethylene
14.269526893894131,-7.030067952808079,Calcium copper titanate/Polychlorotrifluoroethylene
4.358655078345571,1.095086630305024,Molybdenum Disulfide/Polychlorotrifluoroethylene
8.174447263361092,0.9805257831762584,Molybdenum Disulfide/Polychlorotrifluoroethylene
9.5587793696558,0.9296963500547523,Molybdenum Disulfide/Polychlorotrifluoroethylene
10.98986052269061,0.909470398377131,Molybdenum Disulfide/Polychlorotrifluoroethylene
14.269526893894131,0.7857438650095454,Molybdenum Disulfide/Polychlorotrifluoroethylene
4.358655078345571,-3.0130202970858155,PAN/Polychlorotrifluoroethylene
8.174447263361092,8.532607876193644,PAN/Polychlorotrifluoroethylene
9.5587793696558,5.9395711261794535,PAN/Polychlorotrifluoroethylene
10.98986052269061,-8.055931752512263,PAN/Polychlorotrifluoroethylene
14.269526893894131,-17.624548271743798,PAN/Polychlorotrifluoroethylene
4.358655078345571,3.3219395656481394,Silver/Polychlorotrifluoroethylene
8.174447263361092,14.41465413858799,Silver/Polychlorotrifluoroethylene
9.5587793696558,20.064655763342216,Silver/Polychlorotrifluoroethylene
10.98986052269061,36.28455115033787,Silver/Polychlorotrifluoroethylene
14.269526893894131,55.555913306147,Silver/Polychlorotrifluoroethylene
4.358655078345571,8.988183620903447,Graphene/Polychlorotrifluoroethylene
8.174447263361092,17.921239208692725,Graphene/Polychlorotrifluoroethylene
9.5587793696558,27.91915892193689,Graphene/Polychlorotrifluoroethylene
10.98986052269061,32.90893557691935,Graphene/Polychlorotrifluoroethylene
14.269526893894131,142.35711367833017,Graphene/Polychlorotrifluoroethylene
