Light Intensity (W/m²),Reduction Potential (V)
2.6522399248665596,8.866227444380295,TiNTs/Poly(ethyl methacrylate)
3.700147671940226,8.87383555460832,TiNTs/Poly(ethyl methacrylate)
5.02593456244152,9.398547870566585,TiNTs/Poly(ethyl methacrylate)
18.762586508983013,27.85248262608656,TiNTs/Poly(ethyl methacrylate)
1,-0.5823167573793748,Lamp black/Poly(ethyl methacrylate)
6,7.863757005091415,Lamp black/Poly(ethyl methacrylate)
7,6.31588044758473,Lamp black/Poly(ethyl methacrylate)
19,746.1021993749392,Lamp black/Poly(ethyl methacrylate)
5.320268708740816,3.627063567038317,ZnO/Poly(ethyl methacrylate)
5.742673255501989,3.6124448272200835,ZnO/Poly(ethyl methacrylate)
5.947857558755912,3.5581623232019783,ZnO/Poly(ethyl methacrylate)
11.233616645444876,3.4521272071207445,ZnO/Poly(ethyl methacrylate)
8,5.766679773744931,White spirits/Poly(ethyl methacrylate)
9,0.9822601029385041,White spirits/Poly(ethyl methacrylate)
15,63.97833979964496,White spirits/Poly(ethyl methacrylate)
16,227.5552317806725,White spirits/Poly(ethyl methacrylate)
