Solvent Concentration (M),Saturation Magnetization (A/m)
1.0086858507986296,2.732076998358308,CaCu3Ti4O12/PBAT
1.4878975268224615,2.60306515543174,CaCu3Ti4O12/PBAT
8.790120641012908,2.0714439870449333,CaCu3Ti4O12/PBAT
15.356313455258801,2.008754190904022,CaCu3Ti4O12/PBAT
17.182033903321074,2.004962141483698,CaCu3Ti4O12/PBAT
17.683180032895606,2.004108281351709,CaCu3Ti4O12/PBAT
1.0086858507986296,-4.050862481237695,Copper(II) phenyl phosphate/PBAT
1.4878975268224615,-4.456071831258683,Copper(II) phenyl phosphate/PBAT
8.790120641012908,-4.96433144776639,Copper(II) phenyl phosphate/PBAT
15.356313455258801,-5.020015704759533,Copper(II) phenyl phosphate/PBAT
17.182033903321074,-5.023741811724955,Copper(II) phenyl phosphate/PBAT
17.683180032895606,-5.024813305614198,Copper(II) phenyl phosphate/PBAT
1.0086858507986296,-4.617180471137729,titanium dioxide/PBAT
1.4878975268224615,-4.368211487473233,titanium dioxide/PBAT
8.790120641012908,-4.8916728327440335,titanium dioxide/PBAT
15.356313455258801,-5.107312002528811,titanium dioxide/PBAT
17.182033903321074,-5.155012727218791,titanium dioxide/PBAT
17.683180032895606,-5.1540220550622164,titanium dioxide/PBAT
1.0086858507986296,7.752618513875527,Polyaniline/PBAT
1.4878975268224615,7.640497986216569,Polyaniline/PBAT
8.790120641012908,11.133863508965316,Polyaniline/PBAT
15.356313455258801,2.2978226296153004,Polyaniline/PBAT
17.182033903321074,16.60467826601908,Polyaniline/PBAT
17.683180032895606,21.129646381955176,Polyaniline/PBAT
1.0086858507986296,4.216454145296366,Graphene oxide/PBAT
1.4878975268224615,3.744791021217929,Graphene oxide/PBAT
8.790120641012908,7.049931906035705,Graphene oxide/PBAT
15.356313455258801,7.173475808220543,Graphene oxide/PBAT
17.182033903321074,8.44002645470773,Graphene oxide/PBAT
17.683180032895606,5.644967192236115,Graphene oxide/PBAT
