Stress (Pa),Corrosion Rate (mm/year)
5.743972364549443,1.354712922915466,high abrasion furnace black/PP
7.7766705351786065,1.2824634629309997,high abrasion furnace black/PP
9.937712148213986,1.2332697337367886,high abrasion furnace black/PP
14.226412017854733,1.2027190136672814,high abrasion furnace black/PP
5.743972364549443,6.486677160290204,Sodium titanate nanotubes/PP
7.7766705351786065,20.07260334743186,Sodium titanate nanotubes/PP
9.937712148213986,31.34913467801253,Sodium titanate nanotubes/PP
14.226412017854733,-32.37754868997371,Sodium titanate nanotubes/PP
5.743972364549443,-1.169828719497942,aluminum/PP
7.7766705351786065,2.6685971072352945,aluminum/PP
9.937712148213986,-16.04906582328651,aluminum/PP
14.226412017854733,118.95945904824204,aluminum/PP
5.743972364549443,7.2463900402237424,rGO/PP
7.7766705351786065,7.066787860954854,rGO/PP
9.937712148213986,6.997999928063058,rGO/PP
14.226412017854733,6.853911237151712,rGO/PP
