Thermal Conductivity (W/(m·K)),Flexural Modulus (GPa)
5,9.472091371189228,0.74% AuNPs
6,9.229440109536718,0.74% AuNPs
8,10.125475425055777,0.74% AuNPs
13,11.734213669101074,0.74% AuNPs
5,-7.0085368579745095,0.23% AuNPs
6,-7.062492368978651,0.23% AuNPs
8,-7.170564845845659,0.23% AuNPs
13,-7.241544648566311,0.23% AuNPs
5,11.462211759548872,0.92% AuNPs
6,10.162471023675172,0.92% AuNPs
8,18.327907077080948,0.92% AuNPs
13,75.37366020569553,0.92% AuNPs
5,7.448225580778622,0.24% AuNPs
6,7.6456391355188,0.24% AuNPs
8,7.468717847060686,0.24% AuNPs
13,10.754763727308948,0.24% AuNPs
5,8.607853582322397,0.59% AuNPs
6,6.492532175373291,0.59% AuNPs
8,7.612205712846986,0.59% AuNPs
13,9.187685459378965,0.59% AuNPs
