Incubation Time (h),Particle Size Distribution
6.447311521692214,3.8152700845528047,polyaniline/PVA
12.181529895259494,-15.786965970006197,polyaniline/PVA
14.182196552693508,36.072188524825464,polyaniline/PVA
14.929312636397814,7.951686435519601,polyaniline/PVA
19.857259575603585,409.14957442828364,polyaniline/PVA
6.447311521692214,5.154423872443205,zinc oxide/PVA
12.181529895259494,24.74267124872322,zinc oxide/PVA
14.182196552693508,133.51390871159697,zinc oxide/PVA
14.929312636397814,152.0102593792309,zinc oxide/PVA
19.857259575603585,-689.0682518192227,zinc oxide/PVA
6.447311521692214,4.235086671625309,silver/PVA
12.181529895259494,4.009697147308914,silver/PVA
14.182196552693508,3.9548771947597032,silver/PVA
14.929312636397814,3.9706252837112723,silver/PVA
19.857259575603585,3.8659883820928207,silver/PVA
6.447311521692214,-0.6163123274948095,Fullerene/PVA
12.181529895259494,-0.8323490405050431,Fullerene/PVA
14.182196552693508,-0.8989050665938622,Fullerene/PVA
14.929312636397814,-0.9186474615678677,Fullerene/PVA
19.857259575603585,-1.0079837756908392,Fullerene/PVA
6.447311521692214,5.943766898993019,ZnO/PVA
12.181529895259494,76.29385644925487,ZnO/PVA
14.182196552693508,110.4895867494504,ZnO/PVA
14.929312636397814,103.32242242077585,ZnO/PVA
19.857259575603585,1016.3877915374396,ZnO/PVA
