Holding Time (min),Pore Size (nm)
2.392145025581822,-1.3143985466743844,PAI
9.254220225175459,6.1869305611804215,PAI
12.378720842785029,20.20103086058268,PAI
14.484428897215722,95.4828949985403,PAI
16.995007520509343,343.8642810575937,PAI
2.392145025581822,6.976288650827657,Poly(acrylamide)
9.254220225175459,9.303155186722748,Poly(acrylamide)
12.378720842785029,7.757018144680043,Poly(acrylamide)
14.484428897215722,9.638484508920886,Poly(acrylamide)
16.995007520509343,6.202506921177709,Poly(acrylamide)
2.392145025581822,7.082807128248452,PA63T
9.254220225175459,6.215384967473533,PA63T
12.378720842785029,10.445484740384188,PA63T
14.484428897215722,14.95819129553248,PA63T
16.995007520509343,11.968946925497619,PA63T
2.392145025581822,-6.376199652546665,Nylon 6-6
9.254220225175459,-6.878555984116263,Nylon 6-6
12.378720842785029,-7.025457705173819,Nylon 6-6
14.484428897215722,-7.102454668544474,Nylon 6-6
16.995007520509343,-7.141391820007063,Nylon 6-6
2.392145025581822,6.3990369598774945,P(Baph)
9.254220225175459,5.940914776389286,P(Baph)
12.378720842785029,5.800173440075462,P(Baph)
14.484428897215722,5.741769539133442,P(Baph)
16.995007520509343,5.68825605089231,P(Baph)
