Gamma Radiation Dose (Gy),Hardness (HV)
1.5426009610109181,8.4277317974433,Poly(2-vinyl pyridine)
15.121759068190963,7.717296561772249,Poly(2-vinyl pyridine)
18.024122302007047,7.710958837466372,Poly(2-vinyl pyridine)
1.5426009610109181,4.077974501527362,SBR
15.121759068190963,-35.094812991821875,SBR
18.024122302007047,84.65359266643384,SBR
1.5426009610109181,-4.39440130073044,Polyetherketoneketone
15.121759068190963,-4.999345977182827,Polyetherketoneketone
18.024122302007047,-5.053546941084644,Polyetherketoneketone
1.5426009610109181,7.322692237521945,CNBR
15.121759068190963,6.798840434112902,CNBR
18.024122302007047,6.73377079450911,CNBR
1.5426009610109181,5.85654976805606,PA 8
15.121759068190963,5.175112733717345,PA 8
18.024122302007047,5.1255956943377825,PA 8
