Calcination Time (h),Hardness (HV)
5.642673143240682,-1.6200221512833952,TiO2/P(VDF-HFP)
6.07263318644617,-0.5007253906444453,TiO2/P(VDF-HFP)
13.266369955522077,-0.05385794884706918,TiO2/P(VDF-HFP)
5.642673143240682,5.776134386591138,AuNPs/P(VDF-HFP)
6.07263318644617,5.348909054706604,AuNPs/P(VDF-HFP)
13.266369955522077,6.149913477388117,AuNPs/P(VDF-HFP)
5.642673143240682,8.903519724713492,carbon nanofibers/P(VDF-HFP)
6.07263318644617,7.7860578488588885,carbon nanofibers/P(VDF-HFP)
13.266369955522077,16.810990053610787,carbon nanofibers/P(VDF-HFP)
5.642673143240682,1.4890482209999818,Al2O3/P(VDF-HFP)
6.07263318644617,1.2839085343370331,Al2O3/P(VDF-HFP)
13.266369955522077,1.0473600634766016,Al2O3/P(VDF-HFP)
