Annealing Temperature (°C),Elongation At Break (%)
1.44925366888915,0.3230813891011448,PDMS
2.1502541029253353,0.11634923513358486,PDMS
3.4774607167569727,3.0989939312380512,PDMS
11.104268032535797,27.320239120736176,PDMS
15.451645535396585,-115.09142773212436,PDMS
1.525849294920183,9.062297035942175,PVAc
1.822942350372072,8.793100567549097,PVAc
2.972251961245298,8.387978823189254,PVAc
9.34003539575826,18.18843887594266,PVAc
12.990524472153123,63.69117267487472,PVAc
2.6973934300173386,7.716314377178484,EPDM rubber
2.776925571527915,7.744963002529705,EPDM rubber
5.549153005476233,7.503715476187707,EPDM rubber
7.452405564647149,7.382512381832534,EPDM rubber
11.801806185942683,7.277645141748057,EPDM rubber
1.7957999979865802,-2.802446661383872,Poly(caprolactone)
12.239439687060488,-4.610758095348398,Poly(caprolactone)
15.50339753070345,8.918284100717685,Poly(caprolactone)
17.292225515969243,-1.7346885433798902,Poly(caprolactone)
18.872981717616774,5.433354718192522,Poly(caprolactone)
0.6342817819591962,6.722338701026528,Poly(2-vinyl pyridine)
4.100412552263643,8.86318201139027,Poly(2-vinyl pyridine)
4.95151705478825,6.269119036609541,Poly(2-vinyl pyridine)
16.364410438168363,-5.2821160113689825,Poly(2-vinyl pyridine)
18.87553702415007,-19.528599472726953,Poly(2-vinyl pyridine)
