Storage Time (days),Crystallization Temperature (°C)
1.666662828153267,-4.307286187687871,Aluminium dioxide/Poly(vinyl butyral)
1.7320251068914816,-5.571626910560631,Aluminium dioxide/Poly(vinyl butyral)
4.479058345635503,-4.898075039229436,Aluminium dioxide/Poly(vinyl butyral)
13.775883357577111,-0.36868860689090965,Aluminium dioxide/Poly(vinyl butyral)
17.57760911724581,0.35795665710106483,Aluminium dioxide/Poly(vinyl butyral)
1.666662828153267,-3.610259003642669,CCTO/Poly(vinyl butyral)
1.7320251068914816,-3.2896330089931607,CCTO/Poly(vinyl butyral)
4.479058345635503,-2.7808378570933785,CCTO/Poly(vinyl butyral)
13.775883357577111,1.8208146932819052,CCTO/Poly(vinyl butyral)
17.57760911724581,-6.446013785963569,CCTO/Poly(vinyl butyral)
1.666662828153267,-0.4993301269180105,Al2O3/Poly(vinyl butyral)
1.7320251068914816,0.06643712030662186,Al2O3/Poly(vinyl butyral)
4.479058345635503,0.9692182554821853,Al2O3/Poly(vinyl butyral)
13.775883357577111,162.25046742878808,Al2O3/Poly(vinyl butyral)
17.57760911724581,38.54418309397288,Al2O3/Poly(vinyl butyral)
