Time (s),Remanence (A/m)
3,-4.581080285296731,0.3% TPP/DGEBF
11,-4.858378440985899,0.3% TPP/DGEBF
12,-4.869760078012734,0.3% TPP/DGEBF
19,-4.8928150180667895,0.3% TPP/DGEBF
3,5.591714090188146,0.34% TPP/DGEBF
11,5.386970439086344,0.34% TPP/DGEBF
12,5.336642128924207,0.34% TPP/DGEBF
19,5.188908443238427,0.34% TPP/DGEBF
3,-1.9755916452227906,0.25% TPP/DGEBF
11,1.4936129305496433,0.25% TPP/DGEBF
12,1.8757303250791004,0.25% TPP/DGEBF
19,3.063213081974779,0.25% TPP/DGEBF
3,-3.850105053364147,0.46% TPP/DGEBF
11,-4.233893789714057,0.46% TPP/DGEBF
12,-4.243687232943741,0.46% TPP/DGEBF
19,-4.268892905909486,0.46% TPP/DGEBF
