Time (s),Impact Strength (kJ/m²)
7,6.167530636646667,graphite (as received)/PVC-P
8,6.028972154819806,graphite (as received)/PVC-P
12,5.922024186907366,graphite (as received)/PVC-P
14,5.840867361099063,graphite (as received)/PVC-P
7,-5.898565889852689,AuNPs/PVC-P
8,-5.93468047160674,AuNPs/PVC-P
12,-6.008723215806185,AuNPs/PVC-P
14,-6.021231165413774,AuNPs/PVC-P
7,-3.863763313412634,silica/PVC-P
8,-3.910579508438501,silica/PVC-P
12,-3.9735897379713596,silica/PVC-P
14,-3.989387471096734,silica/PVC-P
7,-4.342447597520339,Mineral oil/PVC-P
8,-4.3583215530303665,Mineral oil/PVC-P
12,-4.524487265910075,Mineral oil/PVC-P
14,-4.6285298303130205,Mineral oil/PVC-P
