Heat Treatment Temperature (°C),Thermal Resistance (K/W)
0,-3.052576151939676,Thermal black/TGPAP
2,-2.5953804465971424,Thermal black/TGPAP
7,0.008950533835182739,Thermal black/TGPAP
10,-2.6500702804391945,Thermal black/TGPAP
16,-0.08097956309412435,Thermal black/TGPAP
0,-2.7414201205405915,GO/TGPAP
2,-1.7252925372328567,GO/TGPAP
7,-1.4759504080347403,GO/TGPAP
10,0.2201830142885628,GO/TGPAP
16,5.723981614991937,GO/TGPAP
0,2.8903921077499,Silver/TGPAP
2,4.237338312812725,Silver/TGPAP
7,8.298679290132275,Silver/TGPAP
10,31.022476939119958,Silver/TGPAP
16,204.41049746017862,Silver/TGPAP
0,3.097959145268475,dodecylbenzene sulfonic acid/TGPAP
2,2.908723940529222,dodecylbenzene sulfonic acid/TGPAP
7,2.65124175791057,dodecylbenzene sulfonic acid/TGPAP
10,2.573094078618632,dodecylbenzene sulfonic acid/TGPAP
16,2.354577743914029,dodecylbenzene sulfonic acid/TGPAP
