Mixing Time (min),Reduction Potential (V)
3,6.489314793479618,
5,9.073123756920815,
6,8.08022016259368,
7,12.275234912852603,
12,26.454581406091414,
3,-5.819008217936863,
5,-5.937023524037114,
6,-6.012988038637735,
7,-6.074583377729397,
12,-6.153133051625862,
3,-2.3328668272053017,
5,0.40398058761036104,
6,2.8473925300577694,
7,4.9800027629870876,
12,60.02401555251461,
3,-3.4619889293155217,
5,-3.8566905683288555,
6,-3.4086670424425116,
7,-2.235501237987813,
12,-3.552954058240079,
3,-0.6197871935059627,
5,-0.805482456263479,
6,-0.8811888292160545,
7,-0.8217837626588188,
12,-1.071011573886199,
