Evaporation Temperature (°C),Thermal Conductivity (W/(m·K))
4.515198222552998,4.653679184308008,0.8% zirconium dioxide
5.7431428230705635,4.810718292936498,0.8% zirconium dioxide
7.466688113900409,4.57716204735255,0.8% zirconium dioxide
14.553129079120424,4.333854717641137,0.8% zirconium dioxide
19.499036206426737,4.2660652582742635,0.8% zirconium dioxide
2,2.041969079297801,0.38% zirconium dioxide
4,1.9334648269295047,0.38% zirconium dioxide
11,1.6550785408841027,0.38% zirconium dioxide
17,1.4896728252394178,0.38% zirconium dioxide
18,1.4893819389130778,0.38% zirconium dioxide
8,4.1437875811846405,0.87% zirconium dioxide
9,4.53116695025707,0.87% zirconium dioxide
10,4.242112822095933,0.87% zirconium dioxide
16,12.770978192261419,0.87% zirconium dioxide
19,17.446856488725537,0.87% zirconium dioxide
