Filler Content (%),Toughness (MJ/m³)
3.8341140741784874,0.7924979012628746,Zinc Oxide/PR
10.001572370377836,2.3363828415323935,Zinc Oxide/PR
11.652153637114331,4.381122364648685,Zinc Oxide/PR
13.49470062790177,3.2291637855352944,Zinc Oxide/PR
13.848445103658056,4.575992453716799,Zinc Oxide/PR
17.234221070965873,3.7654382749291213,Zinc Oxide/PR
3.8341140741784874,6.072122840615424,exfoliated graphene/PR
10.001572370377836,5.777475247718381,exfoliated graphene/PR
11.652153637114331,5.658184328661029,exfoliated graphene/PR
13.49470062790177,5.670309453463079,exfoliated graphene/PR
13.848445103658056,5.630776954205036,exfoliated graphene/PR
17.234221070965873,5.569915128584594,exfoliated graphene/PR
3.8341140741784874,-1.124598256180943,octyldimethylmethoxysilane/PR
10.001572370377836,0.9208310885321147,octyldimethylmethoxysilane/PR
11.652153637114331,-1.445547188761269,octyldimethylmethoxysilane/PR
13.49470062790177,2.651848646565659,octyldimethylmethoxysilane/PR
13.848445103658056,-0.6145565604132175,octyldimethylmethoxysilane/PR
17.234221070965873,7.20556981026308,octyldimethylmethoxysilane/PR
3.8341140741784874,1.1755271487688312,barium strontium titanate/PR
10.001572370377836,0.8828983409531245,barium strontium titanate/PR
11.652153637114331,0.8602307343394704,barium strontium titanate/PR
13.49470062790177,0.8497198561837606,barium strontium titanate/PR
13.848445103658056,0.8491015943927408,barium strontium titanate/PR
17.234221070965873,0.8381645979440252,barium strontium titanate/PR
3.8341140741784874,10.87648348050458,exfoliated graphene/PR
10.001572370377836,40.586556062579156,exfoliated graphene/PR
11.652153637114331,48.51642676928434,exfoliated graphene/PR
13.49470062790177,-11.018960434832884,exfoliated graphene/PR
13.848445103658056,157.30934668040942,exfoliated graphene/PR
17.234221070965873,116.10172543848563,exfoliated graphene/PR
