Electric Field (V/m),Young’s Modulus (GPa)
0,-0.6052072286795513,0.16% White spirits
5,-0.21252877911138635,0.16% White spirits
7,0.3370295450159375,0.16% White spirits
12,0.7862098107565756,0.16% White spirits
13,9.898799281186006,0.16% White spirits
17,1.2827264003539702,0.16% White spirits
0,2.043666369055326,0.23% White spirits
5,3.012437332431719,0.23% White spirits
7,3.387573980391399,0.23% White spirits
12,1.8656423410784888,0.23% White spirits
13,8.000184382910172,0.23% White spirits
17,4.624047460701732,0.23% White spirits
