Synthesis Temperature (°C),Magnetization (A/m)
5,3.3487122522915915,
12,3.1536349823670684,
14,3.138766809108516,
18,3.1295722356154148,
5,8.903208120706523,
12,7.260933797526432,
14,104.65968570580687,
18,544.2217378593764,
5,-1.179351416692774,
12,-1.4748820708089494,
14,-1.5290916839538258,
18,-1.6217959205548578,
5,-1.2659685182644855,
12,0.7767186633786043,
14,0.6034287633551241,
18,1.5725265074765966,
5,3.086267298831933,
12,2.6454588658721896,
14,2.6332763042538607,
18,2.5389119254395425,
