Light Intensity (W/m²),Remanence (A/m)
0.14693189987381006,-1.062817800229493,0.7% Calcium carbonate
7.71181666809775,-1.4443538858364553,0.7% Calcium carbonate
9.821114306794495,-1.5144273314132641,0.7% Calcium carbonate
9.82216769547893,-1.4252203437987054,0.7% Calcium carbonate
10.146710532963027,-1.4843307514447126,0.7% Calcium carbonate
10.459695117498738,-1.5078664687036092,0.7% Calcium carbonate
0.14693189987381006,-1.8618332798287411,0.41% Calcium carbonate
7.71181666809775,9.16516017834746,0.41% Calcium carbonate
9.821114306794495,15.306772901879555,0.41% Calcium carbonate
9.82216769547893,34.2772057723113,0.41% Calcium carbonate
10.146710532963027,28.65817616207273,0.41% Calcium carbonate
10.459695117498738,15.825706508268745,0.41% Calcium carbonate
0.14693189987381006,8.480200317569093,0.21% Calcium carbonate
7.71181666809775,7.965537081870871,0.21% Calcium carbonate
9.821114306794495,8.005930326294294,0.21% Calcium carbonate
9.82216769547893,7.962997422120643,0.21% Calcium carbonate
10.146710532963027,7.985423306224582,0.21% Calcium carbonate
10.459695117498738,7.981126234817516,0.21% Calcium carbonate
0.14693189987381006,-0.7500605389162396,0.34% Calcium carbonate
7.71181666809775,13.781785573921335,0.34% Calcium carbonate
9.821114306794495,15.257130553377275,0.34% Calcium carbonate
9.82216769547893,12.05967909386825,0.34% Calcium carbonate
10.146710532963027,38.13301536205529,0.34% Calcium carbonate
10.459695117498738,22.464677592766726,0.34% Calcium carbonate
0.14693189987381006,1.9184837294909323,0.48% Calcium carbonate
7.71181666809775,0.988619546092608,0.48% Calcium carbonate
9.821114306794495,0.9526707833767527,0.48% Calcium carbonate
9.82216769547893,0.9453856892577845,0.48% Calcium carbonate
10.146710532963027,0.9476715345599823,0.48% Calcium carbonate
10.459695117498738,0.9424282571907738,0.48% Calcium carbonate
