Rotational Speed (rpm),Fracture Toughness (MPa·m^0.5)
0.02102647089999632,7.703634133157371,0.04% SiC powder/P(BA-a)
6.831462459307785,16.2613790840267,0.04% SiC powder/P(BA-a)
8.742746595379252,21.085980951345945,0.04% SiC powder/P(BA-a)
17.370921445675215,331.79161968771547,0.04% SiC powder/P(BA-a)
0.02102647089999632,-3.388798628258224,0.69% SiC powder/P(BA-a)
6.831462459307785,3.368227109881105,0.69% SiC powder/P(BA-a)
8.742746595379252,19.03186026584232,0.69% SiC powder/P(BA-a)
17.370921445675215,314.6947637474751,0.69% SiC powder/P(BA-a)
0.02102647089999632,-5.719740520768465,0.28% SiC powder/P(BA-a)
6.831462459307785,-6.498151086455585,0.28% SiC powder/P(BA-a)
8.742746595379252,-6.545285139219098,0.28% SiC powder/P(BA-a)
17.370921445675215,-6.606233628629615,0.28% SiC powder/P(BA-a)
0.02102647089999632,-5.046093598670437,0.08% SiC powder/P(BA-a)
6.831462459307785,-5.482327237693253,0.08% SiC powder/P(BA-a)
8.742746595379252,-5.486462776933859,0.08% SiC powder/P(BA-a)
17.370921445675215,-5.7223539605226605,0.08% SiC powder/P(BA-a)
0.02102647089999632,1.489933889317714,0.61% SiC powder/P(BA-a)
6.831462459307785,2.473052408961069,0.61% SiC powder/P(BA-a)
8.742746595379252,4.746303380418494,0.61% SiC powder/P(BA-a)
17.370921445675215,2.864624367717438,0.61% SiC powder/P(BA-a)
