pH,Young’s Modulus (GPa)
8.582493019310766,-0.4437098450103104,0.86% Titanium dioxide/Poly(methyl methacrylate)
10.278536499345922,-0.4503344967951455,0.86% Titanium dioxide/Poly(methyl methacrylate)
13.715550732039759,-0.6242433621550344,0.86% Titanium dioxide/Poly(methyl methacrylate)
16.392365487261657,-0.6599848857265651,0.86% Titanium dioxide/Poly(methyl methacrylate)
17.21570784708576,-0.6820461513109041,0.86% Titanium dioxide/Poly(methyl methacrylate)
8.582493019310766,3.0143240638162467,0.76% Titanium dioxide/Poly(methyl methacrylate)
10.278536499345922,2.3839903046836852,0.76% Titanium dioxide/Poly(methyl methacrylate)
13.715550732039759,98.63287124711044,0.76% Titanium dioxide/Poly(methyl methacrylate)
16.392365487261657,362.50045552960967,0.76% Titanium dioxide/Poly(methyl methacrylate)
17.21570784708576,-113.65855842808853,0.76% Titanium dioxide/Poly(methyl methacrylate)
8.582493019310766,5.345407518294935,0.39% Titanium dioxide/Poly(methyl methacrylate)
10.278536499345922,5.318287340513873,0.39% Titanium dioxide/Poly(methyl methacrylate)
13.715550732039759,5.171931911760692,0.39% Titanium dioxide/Poly(methyl methacrylate)
16.392365487261657,5.119640004548475,0.39% Titanium dioxide/Poly(methyl methacrylate)
17.21570784708576,5.102067768570587,0.39% Titanium dioxide/Poly(methyl methacrylate)
8.582493019310766,17.136969065699564,0.87% Titanium dioxide/Poly(methyl methacrylate)
10.278536499345922,19.335394470187488,0.87% Titanium dioxide/Poly(methyl methacrylate)
13.715550732039759,93.9509105773751,0.87% Titanium dioxide/Poly(methyl methacrylate)
16.392365487261657,51.396948952911956,0.87% Titanium dioxide/Poly(methyl methacrylate)
17.21570784708576,456.1583976673758,0.87% Titanium dioxide/Poly(methyl methacrylate)
