Heat Treatment Time (h),Electrical Conductivity (S/m)
6.735429136500548,4.245498793323689,TPU
9.007204182168634,4.0173440063784795,TPU
9.543305917792303,3.9625551076592727,TPU
13.222501684941276,3.894366102242359,TPU
18.26644354727727,3.762677333061237,TPU
6.735429136500548,-4.229187331267149,P(Baph)
9.007204182168634,-3.0006179185130017,P(Baph)
9.543305917792303,-3.5223771113341638,P(Baph)
13.222501684941276,0.1761126290576751,P(Baph)
18.26644354727727,5.801281467765866,P(Baph)
6.735429136500548,7.945446063078329,Poly(ether ether ketone)
9.007204182168634,7.887292542660601,Poly(ether ether ketone)
9.543305917792303,7.870827017851726,Poly(ether ether ketone)
13.222501684941276,7.832142045789931,Poly(ether ether ketone)
18.26644354727727,7.818827709168308,Poly(ether ether ketone)
