Incubation Temperature (°C),Electric Field Strength (V/m)
3.8392575728043954,-2.804487434572636,
4.581493840656481,-2.91323712711491,
5.908815165253034,-3.007423180168009,
3.8392575728043954,3.5493399656462996,
4.581493840656481,3.494696758611618,
5.908815165253034,3.4598766038834072,
3.8392575728043954,0.7324044509706185,
4.581493840656481,0.8757897875744802,
5.908815165253034,0.7573833802024632,
3.8392575728043954,2.4385720782067826,
4.581493840656481,2.506613475382895,
5.908815165253034,2.4941608645880784,
3.8392575728043954,4.956244929422193,
4.581493840656481,4.7957386412828935,
5.908815165253034,6.541249654862415,
