vol% (%),Saturation Magnetization (A/m)
0.6069881042965086,-6.102909068836032,PA 12
11.522870430948826,44.42817514968378,PA 12
12.543631951059757,41.68515110874503,PA 12
15.357378344140217,232.90274496443737,PA 12
17.60802032700738,231.93462073013222,PA 12
0.6069881042965086,-5.443020402557634,BXZ
11.522870430948826,-6.273668505836353,BXZ
12.543631951059757,-6.315201258063119,BXZ
15.357378344140217,-6.384278565550316,BXZ
17.60802032700738,-6.434586327991373,BXZ
0.6069881042965086,4.082695896558147,PBuA
11.522870430948826,6.577305297337169,PBuA
12.543631951059757,6.763855907259939,PBuA
15.357378344140217,2.58980456177179,PBuA
17.60802032700738,11.96072301893983,PBuA
0.6069881042965086,1.013907758664914,PLA
11.522870430948826,0.25320683779203673,PLA
12.543631951059757,0.2447928433422668,PLA
15.357378344140217,0.23246561881141878,PLA
17.60802032700738,0.22772734770856812,PLA
0.6069881042965086,-5.108028408644268,PVOH
11.522870430948826,-5.669661125233994,PVOH
12.543631951059757,-5.710513656257528,PVOH
15.357378344140217,-5.77252012907074,PVOH
17.60802032700738,-5.819876840349984,PVOH
